"Subscale","Items","n","mean","sd","min","max","skewness","skew.2SE","kurtosis","kurt.2SE","Alpha","Interpret.a"
"Mother Anger T1",6,1710,1.96,0.5,1,4.17,0.71,6,0.57,2.43,0.71,"Acceptable"
"Mother Anger T2",6,1560,1.94,0.51,1,4.33,0.69,5.56,0.45,1.81,0.71,"Acceptable"
"Mother Anger T3",6,1671,1.93,0.52,1,3.83,0.6,4.99,0.09,0.36,0.72,"Acceptable"
"Mother Anger T4",6,1573,1.9,0.53,1,4,0.63,5.13,0.16,0.65,0.73,"Acceptable"
"Father Anger T1",6,1425,1.92,0.51,1,5,0.79,6.08,1.12,4.31,0.7,"Acceptable"
"Father Anger T2",6,1309,1.98,0.55,1,4.17,0.61,4.49,0.08,0.29,0.72,"Acceptable"
"Father Anger T3",6,1359,2,0.54,0.83,4,0.6,4.56,0.18,0.68,0.73,"Acceptable"
"Father Anger T4",6,1227,1.95,0.56,1,4.5,0.76,5.44,0.56,2.02,0.75,"Acceptable"
"Mother Consistency T1",5,1710,4.25,0.57,2.2,5,-0.72,-6.11,0.16,0.67,0.72,"Acceptable"
"Mother Consistency T2",5,1560,4.28,0.58,1.8,5,-0.89,-7.19,0.8,3.23,0.72,"Acceptable"
"Mother Consistency T3",5,1671,4.28,0.6,1.8,5,-0.9,-7.49,0.56,2.35,0.71,"Acceptable"
"Mother Consistency T4",5,1573,4.23,0.61,1.8,5,-0.72,-5.81,0.07,0.29,0.7,"Acceptable"
"Father Consistency T1",5,1427,4.16,0.62,1.2,5,-0.69,-5.3,0.31,1.19,0.72,"Acceptable"
"Father Consistency T2",5,1309,4.15,0.62,1,5,-0.77,-5.72,0.57,2.09,0.71,"Acceptable"
"Father Consistency T3",5,1358,4.11,0.62,1.6,5.25,-0.61,-4.63,0.06,0.22,0.71,"Acceptable"
"Father Consistency T4",5,1227,4.08,0.62,1,5,-0.61,-4.34,0.32,1.15,0.67,"Questionable"
"Mother Quant. inv. T1",5,1474,4.14,0.73,1,5,-0.99,-7.73,0.71,2.8,0.67,"Questionable"
"Father Quant. inv. T1",5,1431,3.63,0.72,1,5,-0.47,-3.62,-0.1,-0.37,0.66,"Questionable"
"Mother Reasoning T1",3,1710,4.21,0.6,1.67,5,-0.49,-4.11,0.11,0.45,0.82,"Good"
"Mother Reasoning T2",5,1560,4.12,0.64,1,5,-0.54,-4.38,0.48,1.93,0.91,"Excellent"
"Mother Reasoning T3",5,1671,4.12,0.72,1,5,-0.76,-6.31,0.65,2.71,0.92,"Excellent"
"Mother Reasoning T4",5,1573,3.95,0.79,1,5,-0.58,-4.72,0.04,0.18,0.92,"Excellent"
"Father Reasoning T1",3,1430,3.95,0.65,1.33,5,-0.26,-2.02,-0.05,-0.21,0.81,"Good"
"Father Reasoning T2",5,1311,3.9,0.65,1,5,-0.36,-2.67,0.03,0.13,0.89,"Good"
"Father Reasoning T3",5,1360,3.85,0.67,1.2,5,-0.27,-2.02,-0.03,-0.11,0.89,"Good"
"Father Reasoning T4",5,1226,3.76,0.75,1,5,-0.39,-2.77,0.08,0.28,0.91,"Excellent"
"Mother Warmth T1",6,1710,4.44,0.47,2.5,5,-0.56,-4.73,-0.29,-1.25,0.87,"Good"
"Mother Warmth T2",6,1561,4.33,0.53,2.33,5,-0.54,-4.34,-0.09,-0.36,0.88,"Good"
"Mother Warmth T3",6,1671,4.27,0.57,2,5,-0.47,-3.95,-0.39,-1.63,0.89,"Good"
"Mother Warmth T4",6,1573,4.16,0.62,1.67,5,-0.44,-3.55,-0.22,-0.89,0.89,"Good"
"Father Warmth T1",6,1432,4.12,0.59,1.33,5,-0.55,-4.28,0.24,0.92,0.87,"Good"
"Father Warmth T2",6,1311,4.03,0.62,1.5,5,-0.45,-3.36,-0.02,-0.08,0.88,"Good"
"Father Warmth T3",6,1360,3.94,0.62,1.5,5,-0.36,-2.72,-0.17,-0.64,0.87,"Good"
"Father Warmth T4",6,1226,3.81,0.68,1.17,5,-0.24,-1.75,-0.21,-0.75,0.89,"Good"
"Emo. adj. T1",5,1457,2.75,0.35,1,3,-1.71,-13.34,2.83,11.05,0.73,"Acceptable"
"Emo. adj. T2",5,1470,2.76,0.34,1,3,-1.87,-14.65,3.69,14.48,0.73,"Acceptable"
"Emo. adj. T3",5,1398,2.8,0.33,1,3,-2.2,-16.82,5.5,21.04,0.76,"Acceptable"
"Emo. adj. T4",5,1355,2.77,0.33,1.2,3,-1.9,-14.3,3.76,14.16,0.73,"Acceptable"
